Ethereum,Ethereum,Ethereum
Date,Price,Volume
8/11/2017,308.019989,198463746
8/12/2017,296.619995,209757139
8/13/2017,299.160004,138516552
8/14/2017,286.519989,209502360
8/15/2017,301.380005,143590085
8/16/2017,300.299988,141776697
8/17/2017,292.619995,155333057
8/18/2017,293.019989,133331931
8/19/2017,298.200012,86214711
8/20/2017,321.850006,371320147
8/21/2017,313.369995,255666010
8/22/2017,317.399994,136793702
8/23/2017,325.279999,113467892
8/24/2017,330.059998,142040413
8/25/2017,332.859985,70828266
8/26/2017,347.880005,113661914
8/27/2017,347.660004,155518324
8/28/2017,372.350006,245077133
8/29/2017,383.859985,247280361
8/30/2017,388.329987,129260777
8/31/2017,391.420013,192664622
9/1/2017,351.029999,392672123
9/2/2017,352.450012,220213614
9/3/2017,303.700012,518097340
9/4/2017,317.940002,285969365
9/5/2017,338.920013,207751167
9/6/2017,335.369995,145609934
9/7/2017,306.720001,307973324
9/8/2017,303.790009,127930167
9/9/2017,299.209991,179819553
9/10/2017,297.950012,149130023
9/11/2017,294.100006,212949898
9/12/2017,275.839996,328829086
9/13/2017,223.139999,448360655
9/14/2017,259.570007,601118554
9/15/2017,254.490005,213735353
9/16/2017,258.399994,129073620
9/17/2017,297.529999,316944028
9/18/2017,283,211173075
9/19/2017,283.559998,119360306
9/20/2017,257.769989,213821119
9/21/2017,262.940002,128332019
9/22/2017,286.140015,111790766
9/23/2017,282.600006,129812958
9/24/2017,294.890015,125825077
9/25/2017,288.640015,77729398
9/26/2017,309.970001,155862803
9/27/2017,302.769989,116142194
9/28/2017,292.579987,189289895
9/29/2017,302.769989,82819424
9/30/2017,303.950012,66161942
10/1/2017,296.809998,87144370
10/2/2017,291.809998,88276884
10/3/2017,291.679993,67580849
10/4/2017,294.98999,59328523
10/5/2017,308.329987,80140194
10/6/2017,311.26001,83321062
10/7/2017,309.48999,67801593
10/8/2017,296.950012,140753204
10/9/2017,298.459991,80475858
10/10/2017,302.859985,67246675
10/11/2017,302.890015,130357482
10/12/2017,336.829987,325130767
10/13/2017,338.809998,118217861
10/14/2017,336.579987,154046243
10/15/2017,334.230011,170532984
10/16/2017,316.140015,133468389
10/17/2017,313.540009,164595270
10/18/2017,307.410004,92233614
10/19/2017,303.079987,91295399
10/20/2017,299.549988,91321527
10/21/2017,294.029999,67955886
10/22/2017,285.269989,121924456
10/23/2017,296.5,165128705
10/24/2017,296.350006,72454123
10/25/2017,295.540009,47625722
10/26/2017,296.359985,45180916
10/27/2017,293.350006,41932396
