Bitcoin,Bitcoin,Bitcoin
Date,Price,Volume
4/11/2015,235.850006,7814533
4/12/2015,223.589996,23982950
4/13/2015,217.990005,25315606
4/14/2015,222.970001,17099352
4/15/2015,227.979996,19315044
4/16/2015,222.589996,15015559
4/17/2015,223.350006,8152434
4/18/2015,223.020004,7984589
4/19/2015,224.240005,10082693
4/20/2015,233.729996,15658818
4/21/2015,233.779999,18280060
4/22/2015,235.399994,9982620
4/23/2015,231.089996,16221169
4/24/2015,226.139999,10015666
4/25/2015,218.699997,22088733
4/26/2015,228.960007,27696437
4/27/2015,225.809998,14896418
4/28/2015,225.419998,13743340
4/29/2015,235.770004,26242196
4/30/2015,233.210007,14178420
5/1/2015,235.339996,8703582
5/2/2015,239.990005,13389153
5/3/2015,238.970001,16599243
5/4/2015,235.820007,18333196
5/5/2015,230.029999,24127653
5/6/2015,237.729996,21315971
5/7/2015,243.740005,21226000
5/8/2015,241.399994,15281109
5/9/2015,239.960007,10634289
5/10/2015,241.809998,13819530
5/11/2015,241.580002,9712214
5/12/2015,236.380005,20329395
5/13/2015,236.899994,16833656
5/14/2015,237.199997,10932777
5/15/2015,236.229996,6415070
5/16/2015,236.300003,6738302
5/17/2015,232.639999,12516261
5/18/2015,232.020004,9550029
5/19/2015,233.960007,11626735
5/20/2015,235.380005,10114419
5/21/2015,240.369995,17630641
5/22/2015,238.940002,8659651
5/23/2015,240.979996,7278251
5/24/2015,237.410004,6301300
5/25/2015,237.839996,8842430
5/26/2015,237.289993,11445501
5/27/2015,237.320007,8508673
5/28/2015,237.029999,9241377
5/29/2015,233.220001,9738568
5/30/2015,229.839996,9036624
5/31/2015,223.139999,19658919
6/1/2015,225.740005,13666049
6/2/2015,225.589996,12279838
6/3/2015,224.220001,9934190
6/4/2015,225.289993,12703848
6/5/2015,224.740005,5074897
6/6/2015,223.470001,9097310
6/7/2015,228.570007,16824026
6/8/2015,229.559998,12617632
6/9/2015,228.789993,9556657
6/10/2015,229.880005,8745318
6/11/2015,230.460007,9406856
6/12/2015,232.479996,8803491
6/13/2015,233.75,7700053
6/14/2015,237,15006949
6/15/2015,249.820007,29956654
6/16/2015,247.380005,30652977
6/17/2015,248.440002,19421567
6/18/2015,244.130005,20914718
6/19/2015,244.979996,12470598
6/20/2015,244.100006,6140997
6/21/2015,247.460007,11713076
6/22/2015,243.759995,9432470
6/23/2015,240.559998,11415709
6/24/2015,242.559998,9791297
6/25/2015,242.949997,9112156
6/26/2015,250.729996,13525813
6/27/2015,248.880005,9955671
6/28/2015,256.970001,23504772
6/29/2015,264.119995,30621602
6/30/2015,257.619995,17316801
7/1/2015,254.880005,11560214
7/2/2015,255.399994,9335969
7/3/2015,260.549988,8502000
7/4/2015,270.140015,12906220
7/5/2015,269.079987,14242625
7/6/2015,266.209991,11104556
7/7/2015,268.640015,12157995
7/8/2015,269.140015,13058350
7/9/2015,283.619995,33254590
7/10/2015,291.970001,13584989
7/11/2015,310.440002,36866127
7/12/2015,290.350006,42741263
7/13/2015,286.959991,17635928
7/14/2015,283.420013,17274148
